DETAILED_RACE|1310-2|Kiowa Indian Tribe of Oklahoma
DETAILED_RACE|1312-8|Klallam
DETAILED_RACE|3234-2|Klamath Tribes
DETAILED_RACE|3235-9|Kletsel Dehe Wintun Nation of the Cortina Rancheria
DETAILED_RACE|3236-7|Koasek (Cowasuck) Traditional Band of the Sovereign Abenaki Nation
DETAILED_RACE|3237-5|Koi Nation of Northern California
DETAILED_RACE|1319-3|Konkow
DETAILED_RACE|1321-9|Kootenai Tribe of Idaho
DETAILED_RACE|1222-9|Kumeyaay (Diegueno)
DETAILED_RACE|1332-6|La Jolla Band of Luiseno Indians, California
DETAILED_RACE|1226-0|La Posta Band of Diegueno Mission Indians of the La Posta Indian Reservation, California
DETAILED_RACE|1132-0|Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin
DETAILED_RACE|1133-8|Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin
DETAILED_RACE|1134-6|Lac Vieux Desert Band of Lake Superior Chippewa Indians of Michigan
DETAILED_RACE|1135-3|Lake Superior Chippewa
DETAILED_RACE|1424-1|Las Vegas Tribe of Paiute Indians of the Las Vegas Indian Colony, Nevada
DETAILED_RACE|1323-5|Lassik
DETAILED_RACE|1136-1|Minnesota Chippewa Tribe - Leech Lake Band
DETAILED_RACE|3250-8|Lemhi-Shoshone
DETAILED_RACE|1014-0|Lipan Apache
DETAILED_RACE|3252-4|Little River Band of Ottawa Indians, Michigan
DETAILED_RACE|1137-9|Little Shell Tribe of Chippewa Indians of Montana
DETAILED_RACE|3254-0|Little Traverse Bay Bands of Odawa Indians, Michigan
DETAILED_RACE|1425-8|Lone Pine Paiute-Shoshone Tribe
DETAILED_RACE|1048-8|Los Coyotes Band of Cahuilla and Cupeno Indians, California
DETAILED_RACE|3257-3|Louisiana Choctaw Tribe
DETAILED_RACE|1426-6|Lovelock Paiute Tribe of the Lovelock Indian Colony, Nevada
DETAILED_RACE|1618-8|Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota
DETAILED_RACE|1314-4|Lower Elwha Tribal Community
DETAILED_RACE|1199-9|Lower Muskogee Creek Tribe
DETAILED_RACE|1619-6|Lower Sioux Indian Community in the State of Minnesota
DETAILED_RACE|1521-4|Lower Skagit
DETAILED_RACE|1331-8|Luiseno
DETAILED_RACE|1340-9|Lumbee Tribe of North Carolina
DETAILED_RACE|1342-5|Lummi Tribe of the Lummi Reservation
DETAILED_RACE|3267-2|Lytton Rancheria of California
DETAILED_RACE|1200-5|Ma-Chis Lower Creek Indian Tribe of Alabama
DETAILED_RACE|1344-1|Maidu
DETAILED_RACE|1348-2|Makah Indian Tribe of the Makah Indian Reservation
DETAILED_RACE|1427-4|Malheur Paiute
DETAILED_RACE|1350-8|Maliseet
DETAILED_RACE|3273-0|Manchester Band of Pomo Indians of the Manchester Rancheria, California
DETAILED_RACE|1352-4|Mandan
DETAILED_RACE|1227-8|Manzanita Band of Diegueno Mission Indians of the Manzanita Reservation, California
DETAILED_RACE|1728-5|Maricopa
DETAILED_RACE|3277-1|Marietta Band of Nooksack
DETAILED_RACE|1454-8|Mashantucket Pequot Indian Tribe
DETAILED_RACE|1681-6|Mashpee Wampanoag Tribe
DETAILED_RACE|3280-5|Match-e-be-nash-she-wish Band of Pottawatomi Indians of Michigan
DETAILED_RACE|1326-8|Matinecock
DETAILED_RACE|1354-0|Mattaponi Indian Tribe
DETAILED_RACE|1620-4|Mdewakanton Sioux
DETAILED_RACE|3284-7|Mechoopda Indian Tribe of Chico Rancheria, California
DETAILED_RACE|3285-4|Meherrin Indian Tribe
DETAILED_RACE|1356-5|Menominee Indian Tribe of Wisconsin
DETAILED_RACE|1228-6|Mesa Grande Band of Diegueno Mission Indians of the Mesa Grande Reservation, California
DETAILED_RACE|1015-7|Mescalero Apache Tribe of the Mescalero Reservation, New Mexico
DETAILED_RACE|3289-6|Metrolina Native American Association
DETAILED_RACE|1358-1|Miami (Tribe)
DETAILED_RACE|1361-5|Miami Tribe of Oklahoma
DETAILED_RACE|1363-1|Miccosukee Tribe of Indians
DETAILED_RACE|1365-6|Micmac
DETAILED_RACE|3294-6|Middletown Rancheria of Pomo Indians of California
DETAILED_RACE|1138-7|Minnesota Chippewa Tribe - Mille Lacs Band
DETAILED_RACE|1139-5|Minnesota Chippewa
DETAILED_RACE|1368-0|Mission Indians
DETAILED_RACE|1158-5|Mississippi Band of Choctaw Indians
DETAILED_RACE|1370-6|Miwok/Me-Wuk
DETAILED_RACE|1428-2|Moapa Band of Paiute Indians of the Moapa River Indian Reservation, Nevada
DETAILED_RACE|1372-2|Modoc Nation
DETAILED_RACE|1287-2|Mohawk
DETAILED_RACE|1374-8|Mohegan Tribe of Indians of Connecticut
DETAILED_RACE|1396-1|Molalla
DETAILED_RACE|3305-0|Monacan Indian Nation
DETAILED_RACE|1376-3|Mono
DETAILED_RACE|1327-6|Montauk
DETAILED_RACE|1237-7|Moor Indian
DETAILED_RACE|3309-2|Mooretown Rancheria of Maidu Indians of California
DETAILED_RACE|1049-6|Morongo Band of Mission Indians, California
DETAILED_RACE|1345-8|Mountain Maidu
DETAILED_RACE|1159-3|Mowa Band of Choctaw Indians
DETAILED_RACE|1522-2|Muckleshoot Indian Tribe
DETAILED_RACE|1217-9|Munsee
DETAILED_RACE|1238-5|Nansemond Indian Nation
DETAILED_RACE|1378-9|Nanticoke
DETAILED_RACE|3317-5|Nanticoke Lenni-Lenape
DETAILED_RACE|1380-5|Narragansett Indian Tribe
DETAILED_RACE|3319-1|Natchitoches Tribe of Louisiana
DETAILED_RACE|1240-1|Nausu Waiwash
DETAILED_RACE|3321-7|Navajo Nation, Arizona, New Mexico & Utah
DETAILED_RACE|1220-3|New Jersey Sand Hill Band of Indians, Inc
DETAILED_RACE|1387-0|Nez Perce Tribe
DETAILED_RACE|1241-9|Nipmuc
DETAILED_RACE|1346-6|Nisenen
DETAILED_RACE|1523-0|Nisqually Indian Tribe
DETAILED_RACE|1389-6|Nomlaki
DETAILED_RACE|1524-8|Nooksack Indian Tribe
DETAILED_RACE|3329-0|Northfork Rancheria of Mono Indians of California
DETAILED_RACE|1022-3|Northern Arapaho Tribe
DETAILED_RACE|1095-9|Northern Cherokee Nation of Missouri and Arkansas
DETAILED_RACE|1103-1|Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana
DETAILED_RACE|1429-0|Northern Paiute
DETAILED_RACE|1469-6|Northern Pomo
DETAILED_RACE|1598-2|Northwestern Band of the Shoshone Nation
DETAILED_RACE|1482-9|Nottawaseppi Huron Band of the Potawatomi, Michigan
DETAILED_RACE|3337-3|Nottoway Indian Tribe of Virginia
DETAILED_RACE|3338-1|Nulhegan Band of the Coosuk Abenaki Nation
DETAILED_RACE|3339-9|Occaneechi Band of the Saponi Nation
DETAILED_RACE|3340-7|Oglala Sioux Tribe
DETAILED_RACE|3341-5|Ohkay Owingeh, New Mexico
DETAILED_RACE|1403-5|Omaha Tribe of Nebraska
DETAILED_RACE|1288-0|Oneida
DETAILED_RACE|3344-9|Oneida Indian Nation
DETAILED_RACE|3345-6|Oneida Nation
DETAILED_RACE|1289-8|Onondaga Nation
DETAILED_RACE|1405-0|Oregon Athabascan
DETAILED_RACE|1409-2|Otoe-Missouria Tribe of Indians, Oklahoma
DETAILED_RACE|1411-8|Ottawa
DETAILED_RACE|1414-2|Ottawa Tribe of Oklahoma
DETAILED_RACE|1416-7|Paiute
DETAILED_RACE|1433-2|Paiute Indian Tribe of Utah (Cedar Band of Paiutes, Kanosh Band of Paiutes, Koosharem Band of Paiutes, Indian Peaks Band of Paiutes, and Shivwits Band of Paiutes)
DETAILED_RACE|1604-8|Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada
DETAILED_RACE|1333-4|Pala Band of Mission Indians
DETAILED_RACE|1439-9|Pamunkey Indian Tribe
DETAILED_RACE|3356-3|Pascua Yaqui Tribe of Arizona
DETAILED_RACE|3357-1|Paskenta Band of Nomlaki Indians of California
DETAILED_RACE|1441-5|Passamaquoddy Tribe
DETAILED_RACE|3359-7|Patawomeck Indian Tribe of Virginia
DETAILED_RACE|3360-5|Paucatuck Eastern Pequot
DETAILED_RACE|1334-2|Pauma Band of Luiseno Mission Indians of the Pauma & Yuima Reservation, California
DETAILED_RACE|1445-6|Pawnee
DETAILED_RACE|1446-4|Pawnee Nation of Oklahoma
DETAILED_RACE|1335-9|Pechanga Band of Indians
DETAILED_RACE|3365-4|Pee Dee Indian Nation of Upper South Carolina
DETAILED_RACE|3366-2|Pee Dee Indian Tribe of South Carolina
DETAILED_RACE|1448-0|Penobscot Nation
DETAILED_RACE|3368-8|Peoria Tribe of Indians of Oklahoma
DETAILED_RACE|1453-0|Pequot
DETAILED_RACE|1718-6|Picayune Rancheria of Chukchansi Indians of California
DETAILED_RACE|3371-2|Piedmont American Indian Association-Lower Eastern Cherokee Nation SC (PAIA)
DETAILED_RACE|1456-3|Pima
DETAILED_RACE|3373-8|Pinoleville Pomo Nation, California
DETAILED_RACE|1624-6|Pipestone Sioux
DETAILED_RACE|3375-3|Piqua Shawnee Tribe
DETAILED_RACE|1500-8|Piro Manso Tiwa Tribe
DETAILED_RACE|1460-5|Piscataway
DETAILED_RACE|3378-7|Piscataway Conoy Tribe
DETAILED_RACE|3379-5|Piscataway Indian Nation
DETAILED_RACE|1462-1|Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)
DETAILED_RACE|1443-1|Pleasant Point Passamaquoddy
DETAILED_RACE|1201-3|Poarch Band of Creek Indians
DETAILED_RACE|3383-7|Pocasset Wampanoag
DETAILED_RACE|1243-5|Pocomoke Acohonock
DETAILED_RACE|3385-2|Pointe Au-Chien Indian Tribe
DETAILED_RACE|1483-7|Pokagon Band of Potawatomi Indians, Michigan and Indiana
DETAILED_RACE|3387-8|Pokanoket (Royal House of Pokanoket)
DETAILED_RACE|1464-7|Pomo
DETAILED_RACE|1474-6|Ponca
DETAILED_RACE|1476-1|Ponca Tribe of Indians of Oklahoma
DETAILED_RACE|1475-3|Ponca Tribe of Nebraska
DETAILED_RACE|3392-8|Ponkapoag
DETAILED_RACE|1328-4|Poospatuck
DETAILED_RACE|1315-1|Port Gamble S'Klallam Tribe
DETAILED_RACE|1478-7|Potawatomi
DETAILED_RACE|3396-9|Potter Valley Tribe, California
DETAILED_RACE|1487-8|Powhatan
DETAILED_RACE|1484-5|Prairie Band Potawatomi Nation
DETAILED_RACE|1625-3|Prairie Island Indian Community in the State of Minnesota
DETAILED_RACE|1202-1|Principal Creek Indian Nation
DETAILED_RACE|1489-4|Pueblo
DETAILED_RACE|1490-2|Pueblo of Acoma, New Mexico
DETAILED_RACE|1492-8|Pueblo of Cochiti, New Mexico
DETAILED_RACE|1494-4|Pueblo of Isleta, New Mexico
DETAILED_RACE|1495-1|Pueblo of Jemez, New Mexico
DETAILED_RACE|1497-7|Pueblo of Laguna, New Mexico
DETAILED_RACE|1498-5|Pueblo of Nambe, New Mexico
DETAILED_RACE|1499-3|Pueblo of Picuris, New Mexico
DETAILED_RACE|1501-6|Pueblo of Pojoaque, New Mexico
DETAILED_RACE|1502-4|Pueblo of San Felipe, New Mexico
DETAILED_RACE|1503-2|Pueblo of San Ildefonso, New Mexico
DETAILED_RACE|1507-3|Pueblo of Sandia, New Mexico
DETAILED_RACE|1508-1|Pueblo of Santa Ana, New Mexico
DETAILED_RACE|1509-9|Pueblo of Santa Clara, New Mexico
DETAILED_RACE|1511-5|Pueblo of Taos, New Mexico
DETAILED_RACE|1512-3|Pueblo of Tesuque, New Mexico
DETAILED_RACE|1515-6|Pueblo of Zia, New Mexico
DETAILED_RACE|1518-0|Puget Sound Salish
DETAILED_RACE|1526-3|Puyallup Tribe of the Puyallup Reservation
DETAILED_RACE|1431-6|Pyramid Lake Paiute Tribe of the Pyramid Lake Reservation, Nevada
DETAILED_RACE|1541-2|Quapaw Nation
DETAILED_RACE|3422-3|Quartz Valley Indian Community of the Quartz Valley Reservation of California
DETAILED_RACE|3423-1|Quechan Tribe Of The Fort Yuma Indian Reservation, California & Arizona
DETAILED_RACE|1084-3|Quileute Tribe of the Quileute Reservation
DETAILED_RACE|1543-8|Quinault Indian Nation
DETAILED_RACE|1219-5|Ramapough Lenape Nation (Ramapough Mountain)
DETAILED_RACE|3427-2|Ramona Band of Cahuilla, California
DETAILED_RACE|1545-3|Rappahannock Tribe, Inc.
DETAILED_RACE|1141-1|Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin
DETAILED_RACE|1142-9|Red Lake Band of Chippewa Indians, Minnesota
DETAILED_RACE|1061-1|Red Wood
